Year,player,team,bbrefid,namefirst,namelast,suffix
2024,Joe Hudson,NYM,hudsojo03,Joe,Hudson,
2024,Kenley Jansen,BOS,janseke01,Kenley,Jansen,
2024,Craig Kimbrel,BAL,kimbrcr01,Craig,Kimbrel,
2024,John King,STL,kingjo01,John,King,
2024,Tyler Kinley,COL,kinlety01,Tyler,Kinley,
2024,Peter Lambert,COL,lambepe01,Peter,Lambert,
2024,Derek Law,WSN,lawde01,Derek,Law,
2024,Justin Lawrence,COL,lawreju01,Justin,Lawrence,
2024,Jorge López,NYM,lopezjo02,Jorge,López,
2024,James McArthur,KCR,mcartja01,James,McArthur,
2024,Trevor Megill,MIL,megiltr01,Trevor,Megill,
2024,Héctor Neris,CHC,nerishe01,Héctor,Neris,
2024,José Quijada,LAA,quijajo01,José,Quijada,
2024,Yerry Rodríguez,TEX,rodriye01,Yerry,Rodríguez,
2024,JoJo Romero,STL,romerjo01,JoJo,Romero,
2024,Chase Shugart,BOS,shugach01,Chase,Shugart,
2024,Lucas Sims,CIN,simslu01,Lucas,Sims,
2024,Kevin Smith,NYY,smithke05,Kevin,Smith,
2024,Ryne Stanek,SEA,stanery01,Ryne,Stanek,
2024,Albert Suárez,BAL,suareal01,Albert,Suárez,
2024,Ryan Thompson,ARI,thompry02,Ryan,Thompson,
2024,Victor Vodnik,COL,vodnivi01,Victor,Vodnik,
2024,Jacob Webb,BAL,webbja01,Jacob,Webb,
2024,Josh Winckowski,BOS,winckjo01,Josh,Winckowski,
2024,Kirby Yates,TEX,yateski01,Kirby,Yates,
2024,Guillo Zuñiga,LAA,zuniggu01,Guillo,Zuñiga,
