"playerid","bbrefid","name","player_url"
coonwi01,coonwi01,William Coon,https://www.baseball-reference.com/players/c/coonwi01.shtml
corcojo01,corcojo01,John Corcoran,https://www.baseball-reference.com/players/c/corcojo01.shtml
corcomi01,corcomi01,Mike Corcoran,https://www.baseball-reference.com/players/c/corcomi01.shtml
corriph01,corriph01,Phil Coridan,https://www.baseball-reference.com/players/c/corriph01.shtml
corteda02,corteda02,Dan Cortes,https://www.baseball-reference.com/players/c/corteda02.shtml
cotteda01,cotteda01,Dan Cotter,https://www.baseball-reference.com/players/c/cotteda01.shtml
cotteto01,cotteto01,Tom Cotter,https://www.baseball-reference.com/players/c/cotteto01.shtml
curtied99,curtied99,Ed Curtis,https://www.baseball-reference.com/players/c/curtied99.shtml
coughde01,coughde01,Dennis Coughlin,https://www.baseball-reference.com/players/c/coughde01.shtml
cramebo01,cramebo01,Bobby Cramer,https://www.baseball-reference.com/players/c/cramebo01.shtml
cramedi01,cramedi01,Edward Cramer,https://www.baseball-reference.com/players/c/cramedi01.shtml
crawfge01,crawfge01,George Crawford,https://www.baseball-reference.com/players/c/crawfge01.shtml
crawfke01,crawfke01,Ken Crawford,https://www.baseball-reference.com/players/c/crawfke01.shtml
crockda01,crockda01,Davey Crockett,https://www.baseball-reference.com/players/c/crockda01.shtml
croftar01,croftar01,Art Croft,https://www.baseball-reference.com/players/c/croftar01.shtml
cromedt01,cromed.01,D. T. Cromer,https://www.baseball-reference.com/players/c/cromed.01.shtml
crosbge01,crosbge01,George Crosby,https://www.baseball-reference.com/players/c/crosbge01.shtml
crosscl01,crosscl01,Clarence Cross,https://www.baseball-reference.com/players/c/crosscl01.shtml
crossjo01,crossjo01,Joe Cross,https://www.baseball-reference.com/players/c/crossjo01.shtml
croucbi01,croucbi01,Bill Crouch,https://www.baseball-reference.com/players/c/croucbi01.shtml
crowljo01,crowljo01,John Crowley,https://www.baseball-reference.com/players/c/crowljo01.shtml
cullejo01,cullejo01,John Cullen,https://www.baseball-reference.com/players/c/cullejo01.shtml
culpbi01,culpbi01,Bill Culp,https://www.baseball-reference.com/players/c/culpbi01.shtml
curtico01,curtico01,Colin Curtis,https://www.baseball-reference.com/players/c/curtico01.shtml
cushmch99,cushmch99,Charlie Cushman,https://www.baseball-reference.com/players/c/cushmch99.shtml
cyperal01,cyperal01,Al Cypert,https://www.baseball-reference.com/players/c/cyperal01.shtml
dacqujo01,d'acqjo01,John D'Acquisto,https://www.baseball-reference.com/players/d/d'acqjo01.shtml
dalyjo01,dalyjo01,Joe Daly,https://www.baseball-reference.com/players/d/dalyjo01.shtml
damicje01,d'amije01,Jeff D'Amico,https://www.baseball-reference.com/players/d/d'amije01.shtml
damicje02,d'amije02,Jeff D'Amico,https://www.baseball-reference.com/players/d/d'amije02.shtml
darneja01,darneja01,James Darnell,https://www.baseball-reference.com/players/d/darneja01.shtml
davidmo99,davidmo99,Mordecai Davidson,https://www.baseball-reference.com/players/d/davidmo99.shtml
davieza01,davieza02,Zach Davies,https://www.baseball-reference.com/players/d/davieza02.shtml
davisbl01,davisbl01,Blake Davis,https://www.baseball-reference.com/players/d/davisbl01.shtml
davisbr03,davisbr03,Brad Davis,https://www.baseball-reference.com/players/d/davisbr03.shtml
dayjo99,dayjo99,John Day,https://www.baseball-reference.com/players/d/dayjo99.shtml
deasljo01,deasljo01,John Deasley,https://www.baseball-reference.com/players/d/deasljo01.shtml
deckefr01,deckefr01,Frank Decker,https://www.baseball-reference.com/players/d/deckefr01.shtml
deegadu01,deegadu01,Bill Deegan,https://www.baseball-reference.com/players/d/deegadu01.shtml
defrato99,defrato99,Tony DeFrancesco,https://www.baseball-reference.com/players/d/defrato99.shtml
delacto01,dela_to01,Tommy de la Cruz,https://www.baseball-reference.com/players/d/dela_to01.shtml
delahmi01,dela_mi01,Miguel de la Hoz,https://www.baseball-reference.com/players/d/dela_mi01.shtml
delanro01,delanro01,Rob Delaney,https://www.baseball-reference.com/players/d/delanro01.shtml
delarfr01,dela_fr01,Francisco de la Rosa,https://www.baseball-reference.com/players/d/dela_fr01.shtml
delarje01,dela_je01,Jesus de la Rosa,https://www.baseball-reference.com/players/d/dela_je01.shtml
delarjo01,rosajo01,Jorge De La Rosa,https://www.baseball-reference.com/players/d/rosajo01.shtml
demotbe01,demotbe01,Ben DeMott,https://www.baseball-reference.com/players/d/demotbe01.shtml
derbyge02,derbyge02,Gene Derby,https://www.baseball-reference.com/players/d/derbyge02.shtml
devrico01,devrico01,Cole De Vries,https://www.baseball-reference.com/players/d/devrico01.shtml
diamoth01,diamoth01,Thomas Diamond,https://www.baseball-reference.com/players/d/diamoth01.shtml
dickera01,dicker.01,R. A. Dickey,https://www.baseball-reference.com/players/d/dicker.01.shtml
diddlha99,diddlha99,Harry Diddlebock,https://www.baseball-reference.com/players/d/diddlha99.shtml
dillojo01,dillojo01,John Dillon,https://www.baseball-reference.com/players/d/dillojo01.shtml
dinkebr01,dinkebr01,Brian Dinkelman,https://www.baseball-reference.com/players/d/dinkebr01.shtml
